x: 0, y: 0Vx: 0, Vy: 0time0
x: 0.951669, y: 0.52517Vx: 0.859315, Vy: 0.392686time1.54
x: 0.960262, y: 0.529097Vx: 0.859315, Vy: 0.392686time1.55
x: 0.968856, y: 0.533024Vx: 0.859315, Vy: 0.392686time1.56
x: 0.977449, y: 0.536951Vx: 0.859315, Vy: 0.392686time1.57
x: 0.986042, y: 0.540878Vx: 0.859315, Vy: 0.392686time1.58
x: 0.994635, y: 0.544805Vx: 0.859315, Vy: 0.392686time1.59
x: 1.00323, y: 0.548732Vx: 0.859315, Vy: 0.392686time1.6
x: 1.01182, y: 0.552658Vx: 0.859315, Vy: 0.392686time1.61
x: 1.02041, y: 0.556585Vx: 0.859315, Vy: 0.392686time1.62
x: 1.029, y: 0.560512Vx: 0.858492, Vy: 0.392686time1.63
x: 1.03758, y: 0.564439Vx: 0.857175, Vy: 0.392686time1.64
x: 1.04615, y: 0.568366Vx: 0.855859, Vy: 0.392686time1.65
x: 1.0547, y: 0.572293Vx: 0.854542, Vy: 0.392686time1.66
x: 1.06324, y: 0.576219Vx: 0.853226, Vy: 0.392686time1.67
x: 1.07177, y: 0.580146Vx: 0.851909, Vy: 0.392686time1.68
x: 1.08028, y: 0.584073Vx: 0.850593, Vy: 0.392686time1.69
x: 1.08878, y: 0.588Vx: 0.849276, Vy: 0.392686time1.7
x: 1.09726, y: 0.591927Vx: 0.846111, Vy: 0.392686time1.71
x: 1.1057, y: 0.595854Vx: 0.841969, Vy: 0.392686time1.72
x: 1.1141, y: 0.599781Vx: 0.837827, Vy: 0.392686time1.73
x: 1.12245, y: 0.603707Vx: 0.833685, Vy: 0.392686time1.74
x: 1.13077, y: 0.607634Vx: 0.829543, Vy: 0.392686time1.75
x: 1.13904, y: 0.611561Vx: 0.825401, Vy: 0.392686time1.76
x: 1.14728, y: 0.615488Vx: 0.821258, Vy: 0.392686time1.77
x: 1.15547, y: 0.619415Vx: 0.816315, Vy: 0.392686time1.78
x: 1.16359, y: 0.623342Vx: 0.808642, Vy: 0.392686time1.79
x: 1.17164, y: 0.627269Vx: 0.800969, Vy: 0.392686time1.8
x: 1.17961, y: 0.631195Vx: 0.793296, Vy: 0.392686time1.81
x: 1.18751, y: 0.635122Vx: 0.785622, Vy: 0.392686time1.82
x: 1.19533, y: 0.639049Vx: 0.777949, Vy: 0.392686time1.83
